Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
translational initiation (GO:0006413)	23/139	4.81801038762754e-22	2.50151099325622e-18	0	0	17.1469042382674	841.647409453547	RPL5;RPL32;RPL21;RPS8;RPS6;RPL11;RPL35A;RPSA;RPS14;EIF1AD;RPS19;RPL18A;RPL27A;RPL35;RPL13;RPL39;RPS24;EIF4B;EIF3A;EIF4G1;RPS23;RPL19;EIF3B
gene expression (GO:0010467)	40/672	1.22457737052008e-20	3.17900285387012e-17	0	0	6.16827041697508	282.809684672272	RPL5;SF3B3;GTF3C4;RPL32;RPL11;HNRNPU;HNRNPR;YBX1;RPS14;RPL18A;RPS19;SNRPD1;U2AF2;PCBP1;RPL35;RPL13;HNRNPA1;RPL39;EIF4B;RPL19;RPL21;RPS8;FUS;RPS6;RPL35A;RPSA;HNRNPK;RPL27A;HNRNPA2B1;POLR3H;EEF1E1;SRSF6;SRSF7;RBMX;RPS24;EIF3A;RAN;RPS23;EIF4G1;EIF3B
viral transcription (GO:0019083)	18/84	1.2835198359463e-19	2.22134499607774e-16	0	0	22.2057735011103	965.940279595176	RPL5;RPL32;RPL21;RPS8;RPS6;RPL11;RPL35A;RPSA;RPS14;RPL18A;RPS19;RPL27A;RPL35;RPL13;RPL39;RPS24;RPL19;RPS23
viral life cycle (GO:0019058)	20/118	1.61742364696135e-19	2.09941589375583e-16	0	0	17.563888644946	759.959290857288	RPL5;RPL32;RPL21;RPS8;RPS6;RPL11;RPL35A;RPSA;RPS14;RPS19;RPL18A;RPL27A;RPL35;RPL13;RPL39;PPIA;RPS24;RAN;RPS23;RPL19
translational termination (GO:0006415)	18/89	3.92483658402597e-19	4.07555030885256e-16	0	0	20.9582581358794	888.24853806942	RPL5;RPL32;RPL21;RPS8;RPS6;RPL11;RPL35A;RPSA;RPS14;RPL18A;RPS19;RPL27A;RPL35;RPL13;RPL39;RPS24;RPL19;RPS23
translational elongation (GO:0006414)	19/114	1.88260335737376e-18	1.62907943858076e-15	0	0	17.2711571675302	704.902868573276	EIF5A;RPL5;RPL32;RPL21;RPS8;RPS6;RPL11;RPL35A;RPSA;RPS14;RPS19;RPL18A;RPL27A;RPL35;RPL13;RPL39;RPS24;RPS23;RPL19
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	19/117	3.14043328383479e-18	2.32930422995289e-15	0	0	16.8283069837474	678.217303932674	RPL5;RPL32;RPL21;RPS8;RPS6;RPL11;RPL35A;RPSA;RPS14;RPS19;RPL18A;RPL27A;RPL35;RPL13;RPL39;RPS24;EIF4G1;RPS23;RPL19
SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	18/108	1.53864122804846e-17	9.98578157003449e-15	0	0	17.2711571675302	668.619116984373	RPL5;RPL32;RPL21;RPS8;RPS6;RPL11;RPL35A;RPSA;RPS14;RPS19;RPL18A;RPL27A;RPL35;RPL13;RPL39;RPS24;RPS23;RPL19
cotranslational protein targeting to membrane (GO:0006613)	18/110	2.16710871173955e-17	1.25018093681686e-14	0	0	16.9571361281206	650.65468532086	RPL5;RPL32;RPL21;RPS8;RPS6;RPL11;RPL35A;RPSA;RPS14;RPS19;RPL18A;RPL27A;RPL35;RPL13;RPL39;RPS24;RPS23;RPL19
protein targeting to ER (GO:0045047)	18/111	2.56505824238278e-17	1.33177823944514e-14	0	0	16.8043691359754	641.959928233332	RPL5;RPL32;RPL21;RPS8;RPS6;RPL11;RPL35A;RPSA;RPS14;RPS19;RPL18A;RPL27A;RPL35;RPL13;RPL39;RPS24;RPS23;RPL19
