seqnames	start	end	width	strand	Conc	Conc_DOX	Conc_none	Fold	p.value	FDR	peak	feature	start_position	end_position	feature_strand	insideFeature	distancetoFeature	shortestDistance	fromOverlappingOrNearest	symbol	ENTREZID
chr1	44775222	44776313	1092	*	7.38	8.36	1.87	6.5	2.59e-29	2.5e-25	64	ENSG00000142937	44775251	44778779	+	overlapStart	-29	29	NearestLocation	RPS8	6202
chr12	46218329	46220535	2207	*	7.71	8.61	4.79	3.81	3.86e-28	1.87e-24	1871	ENSG00000274591	46239106	46239473	-	downstream	21144	18571	NearestLocation	NA	NA
chr7	44985969	44986755	787	*	7.2	8.19	1.71	6.48	4.9e-26	1.58e-22	8810	ENSG00000232956	44983023	44986961	-	inside	992	206	NearestLocation	SNHG15	285958
chr3	184248417	184249714	1298	*	7.84	8.83	0.75	8.08	3.77e-25	9.09e-22	5812	ENSG00000145194	184249650	184293031	+	overlapStart	-1233	64	NearestLocation	ECE2	9718
chr2	28894616	28895893	1278	*	7.02	8.01	1.31	6.7	3.29e-23	6.36e-20	2489	ENSG00000163811	28894643	28948222	+	overlapStart	-27	27	NearestLocation	WDR43	23160
chr15	42208726	42209334	609	*	7.25	8.11	4.85	3.25	9.95e-23	1.6e-19	2116	ENSG00000261002	42208413	42226990	+	inside	313	313	NearestLocation	NA	NA
chr5	82277646	82278484	839	*	6.89	7.87	1.53	6.33	7.32e-22	1.01e-18	6332	ENSG00000186468	82273358	82278577	-	inside	931	93	NearestLocation	RPS23	6228
chr5	33441013	33442147	1135	*	6.67	7.62	2.83	4.79	3.77e-21	4.55e-18	6240	ENSG00000113407	33440696	33469539	+	inside	317	317	NearestLocation	TARS1	6897
chr2	206159814	206160654	841	*	6.61	7.54	3.23	4.31	4.42e-21	4.74e-18	3097	ENSG00000277502	206160843	206161024	+	upstream	-1029	189	NearestLocation	NA	NA
chr20	11807807	11808785	979	*	6.66	7.64	1.31	6.33	3.45e-20	3.34e-17	3175	ENSG00000222281	11818821	11819091	-	downstream	11284	10036	NearestLocation	NA	NA
chr11	54531929	54533720	1792	*	6.61	7.59	1.31	6.29	1.76e-19	1.54e-16	1623	ENSG00000237610	54591480	54592409	+	upstream	-59551	57760	NearestLocation	NA	NA
chr9	113410333	113411064	732	*	6.43	7.41	1.31	6.11	2.1e-18	1.69e-15	9443	ENSG00000148229	113407235	113410672	-	overlapStart	339	339	NearestLocation	POLE3	54107
chr1	52697759	52698403	645	*	6.57	7.55	1.05	6.5	3.55e-18	2.64e-15	124	ENSG00000162377	52684451	52698366	-	overlapStart	607	37	NearestLocation	COA7	65260
